0.762	0.345	0.0609	NAN	-0.0210105	NAN	NAN	
0.764	0.345	0.05775	0.06363	-0.01992375	-0.02195235	NAN	
0.766	0.345	0.06225	NAN	-0.02147625	NAN	NAN	
0.768	0.35	0.0693	NAN	-0.024255	NAN	NAN	
0.77	0.35	0.0681	NAN	-0.023835	NAN	NAN	
0.772	0.35	0.0609	NAN	-0.021315	NAN	NAN	
0.774	0.35	0.0579	0.06366	-0.020265	-0.022281	NAN	
0.776	0.35	0.0621	NAN	-0.021735	NAN	NAN	
0.778	0.35	0.0693	NAN	-0.024255	NAN	NAN	
0.78	0.355	0.0681	NAN	-0.0241755	NAN	NAN	
0.782	0.355	0.0609	NAN	-0.0216195	NAN	NAN	
0.784	0.355	0.05775	0.06372	-0.02050125	-0.0226206	NAN	
0.786	0.355	0.06255	NAN	-0.02220525	NAN	NAN	
0.788	0.355	0.0693	NAN	-0.0246015	NAN	NAN	
0.79	0.36	0.06825	NAN	-0.02457	NAN	NAN	
0.792	0.36	0.06135	NAN	-0.022086	NAN	NAN	
0.794	0.36	0.05805	0.06384	-0.020898	-0.0229824	NAN	
0.796	0.36	0.0624	NAN	-0.022464	NAN	NAN	
0.798	0.36	0.06915	NAN	-0.024894	NAN	NAN	
0.8	0.36	0.0684	NAN	-0.024624	NAN	NAN	
0.802	0.365	0.06135	NAN	-0.02239275	NAN	NAN	
0.804	0.365	0.0582	0.06393	-0.021243	-0.02333445	NAN	
0.806	0.365	0.06225	NAN	-0.02272125	NAN	NAN	
0.808	0.365	0.06945	NAN	-0.02534925	NAN	NAN	
0.81	0.365	0.06855	NAN	-0.02502075	NAN	NAN	
0.812	0.37	0.06105	NAN	-0.0225885	NAN	NAN	
0.814	0.37	0.05805	0.0639	-0.0214785	-0.023643	NAN	
0.816	0.37	0.0624	NAN	-0.023088	NAN	NAN	
0.818	0.37	0.06945	NAN	-0.0256965	NAN	NAN	
0.82	0.37	0.06855	NAN	-0.0253635	NAN	NAN	
0.822	0.37	0.06135	NAN	-0.0226995	NAN	NAN	
0.824	0.375	0.0582	0.06405	-0.021825	-0.02401875	NAN	
0.826	0.375	0.0627	NAN	-0.0235125	NAN	NAN	
0.828	0.375	0.06945	NAN	-0.02604375	NAN	NAN	
0.83	0.375	0.06855	NAN	-0.02570625	NAN	NAN	
0.832	0.375	0.06135	NAN	-0.02300625	NAN	NAN	
